Nested Sampling Global Log-Evidence           :   -0.592657601107379151E+01  +/-    0.687845467445356157E-02
Nested Importance Sampling Global Log-Evidence:   -0.549890980086695613E+01  +/-    0.238004750277183985E-01

Dim No.       Mean        Sigma
   1    0.347849136628126487E+01    0.275392565286426061E+01
   2    0.738287037323657369E+01    0.257611428197095016E+01
   3    0.743814622199856412E+01    0.251527879904492080E+01
   4    0.998061491053003991E+01    0.796434753304143594E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.394823160781268889E+00
   2    0.896785639111173971E+01
   3    0.861015616935410755E+01
   4    0.187440586549349355E+02

MAP Parameters
Dim No.        Parameter
   1    0.394823160781268889E+00
   2    0.896785639111173971E+01
   3    0.861015616935410755E+01
   4    0.187440586549349355E+02
